house_number,hhcount,hh_income,latitude,longitude,household_sample_size
513,4,30000,8236787.252866864,687908.2574257558,4
514,4,20000,8224940.142241606,690163.7205719801,4
515,3,10000,8239775.531556582,687855.097835964,3
516,5,25000,8224573.729733751,689546.4944637646,5
517,4,15000,8234659.52111664,689862.8410679564,4
518,6,20000,8224966.010324972,690155.2904440615,6
519,4,10000,8239716.311484921,687848.8284119444,4
520,3,30,8239821.554398092,687839.130986626,3
521,6,3000,8232186.756773299,690481.4293771102,6
522,4,20000,8228580.010407481,690723.0216820224,4
523,4,1000,8239728.916554708,687827.7709922384,4
524,5,4000,8239733.849814603,687809.5350120657,5
525,3,24000,8236451.278172063,687588.9950279975,3
526,2,36000,8239780.739597425,687804.1570846541,2
527,4,56,8228465.000798874,690904.656786865,4
528,5,15000,8229301.012097451,691183.6024061777,5
529,6,15000,8232128.091624605,690412.6496848003,6
530,4,20000,8234902.189532012,688685.9062049878,4
531,3,10000,8236893.496378868,687612.6362222782,3
532,6,10000,8236474.427699567,687564.1821126888,6
533,3,30,8228557.335431147,690945.8337260832,3
534,4,30000,8231934.089488354,690328.1630465989,4
535,3,10000,8224656.780323459,685692.8408201148,3
536,3,30,8227975.261922353,686393.300800666,3
537,3,20000,8232082.790156495,690457.4598360409,3
538,2,30000,8239750.189751351,687799.0906035759,2
539,3,10000,8224388.633615264,685911.7658603687,3
540,4,5000,8236916.387632889,687618.5997352721,4
541,3,30,8225210.824313644,690405.0333230858,3
542,5,10000,8239632.123962486,687855.8167285548,5
543,3,20000,8224377.186335481,685909.7471965629,3
544,4,50000,8227932.570485591,686242.9556084699,4
545,3,20000,8225201.667264355,690358.8095427454,3
546,3,2000,8236868.39442234,687857.8651510812,3
547,5,10000,8224404.591096969,685945.5452376856,5
548,4,46000,8228545.927484811,690939.0051108645,4
549,4,10000,8228020.298003837,690586.7815186918,4
550,7,5000,8237680.518410449,687241.6478918896,7
551,2,30000,8229359.97292855,691216.8021347091,2
552,3,250000,8226265.895059938,684448.9626847799,3
553,6,200000,8228389.055051866,690957.847746081,6
554,5,4000,8229742.448451294,691369.3895277566,5
