house_number,hhcount,hh_income,latitude,longitude,household_sample_size
1057,6,50000,8264930.964696315,715013.0765807469,6
1058,5,80000,8261528.137171319,715461.5864137975,5
1059,5,80000,8263345.951248084,714105.9195131608,5
1060,5,20000,8265795.875771092,713903.8191796914,5
1061,4,15000,8261890.23613494,715060.2839418441,4
1062,4,45000,8264844.285987425,713132.4978195378,4
1063,2,50000,8264194.6628347505,714218.1275702827,2
1064,2,30000,8265296.024994627,713482.1031087268,2
1065,2,50000,8261675.257987721,715216.7127042976,2
1066,7,20000,8262053.549474456,715759.1215383884,7
1067,7,30000,8265403.366541719,713557.9730550342,7
1068,2,28000,8263629.663473507,712966.4420707072,2
1069,4,30000,8265378.113841819,714998.7375453769,4
1070,6,70000,8262676.311877285,714056.390185514,6
1071,9,6000,8261502.174687272,715944.040404626,9
1072,4,50000,8263520.61316197,714117.7324069509,4
1073,2,40000,8261654.008407547,715493.301212878,2
1074,5,20000,8261608.351514997,715268.8016722269,5
1075,5,30000,8264240.557857262,715051.0333453336,5
1076,6,50000,8262998.878955182,715670.8028816604,6
1077,6,30000,8261393.593892124,715666.1397413346,6
1078,3,20000,8265724.850245747,713346.2460474307,3
1079,3,120000,8265339.575525796,714495.4295218969,3
1080,2,150000,8265920.52457368,713259.764521555,2
1081,4,15000,8265017.760132703,715502.9708407636,4
1082,6,60000,8262036.959860969,715815.736887601,6
1083,3,30000,8263903.574688224,714373.1467074796,3
1084,2,45000,8262332.728499625,714749.8162018622,2
1085,2,40000,8262464.369723994,716239.1083966842,2
1086,2,50000,8263462.117936638,714785.7946553484,2
1087,5,80000,8262849.345879594,715632.161077314,5
1088,4,100000,8263033.3604003135,714324.0887384976,4
1089,2,30000,8261457.018934703,714676.1015133362,2
1090,4,30000,8262757.108976221,715022.690319831,4
1091,6,30,8263476.113834405,713875.7767877253,6
1092,7,70000,8265561.099403988,713730.7796422811,7
1093,2,150000,8261182.507995678,714851.1574461311,2
1094,3,200000,8264934.154969903,715197.0428579341,3
1095,9,70000,8264476.205407344,713213.9154277237,9
1096,4,53000,8261991.688627319,714918.4010148842,4
1097,4,30000,8262014.663516713,715303.0792690681,4
1098,8,50000,8262611.339367641,715552.8172783755,8
1099,4,30000,8265511.8110681325,714080.9944316696,4
1100,3,120000,8261559.570800635,715146.4994238357,3
1101,4,40000,8261575.681405462,716270.8336670438,4
1102,6,24000,8261494.35275688,715826.9871308121,6
1103,6,30000,8265564.571873274,715084.0728199037,6
1104,3,20000,8262048.049086401,714774.365701857,3
1105,2,10000,8261476.959064731,715438.079704325,2
1106,3,15000,8265353.061294245,712376.8146717146,3
1107,4,100000,8261449.755830282,715554.0520513166,4
1108,6,350000,8266500.868939766,715294.5327290212,6
1109,5,30000,8263281.240460012,714181.1679033214,5
1110,5,80000,8265275.305741207,715394.2730350549,5
1111,2,35000,8265413.025258461,712351.6669986937,2
1112,4,53000,8260804.468674937,714986.4920242992,4
1113,2,45000,8263939.958835058,713597.1100732819,2
1114,6,45000,8261814.840899399,716441.8520101283,6
1115,3,200000,8263968.45460781,714396.5574757492,3
1116,4,70000,8262053.663317367,714775.2900214313,4
1117,5,50000,8261397.51316091,716191.407920752,5
1118,8,80000,8261214.730675865,715382.7334789034,8
1119,6,50000,8265320.463821165,712241.1556182138,6
1120,4,20000,8261727.023432482,714770.9913045744,4
1121,6,50000,8262926.507783747,714255.5784549236,6
1122,4,53000,8262821.931306658,715413.2958290617,4
1123,2,28000,8261551.809100958,715886.5841834361,2
1124,3,30000,8264145.49604771,714402.279067861,3
1125,7,50000,8264332.404243496,713020.4140340264,7
1126,4,30000,8265435.588470409,712647.4331783567,4
1127,2,30000,8264378.707545718,713813.7806370474,2
1128,3,70000,8263583.663412559,713867.9429675229,3
1129,6,70000,8261492.303288717,715257.8940983545,6
1130,7,150000,8264146.742048854,714413.3132215472,7
1131,6,100000,8265397.054074695,715103.4440557263,6
1132,3,30000,8261681.301565187,715463.7640475517,3
1133,6,50000,8265800.550264314,715030.3272626431,6
1134,4,5000,8261387.936690334,716196.4758567681,4
1135,5,80000,8262430.479179341,715248.5905308523,5
1136,4,20000,8262364.47745119,715193.4787058922,4
1137,7,40000,8262405.336552851,715330.2278037171,7
1138,4,40000,8263956.290157987,714301.1190702445,4
1139,6,350000,8261687.374507034,715852.6072621528,6
1140,4,26000,8265337.274860327,711949.4716106801,4
1141,2,150000,8264071.066877137,712524.2183973824,2
1142,2,40000,8261144.35717095,715541.27957516,2
1143,2,28000,8263852.279925492,715008.8188520903,2
1144,7,20000,8263306.72871088,714210.9201342217,7
1145,5,30000,8263740.759289164,714351.3203872647,5
1146,5,30000,8264387.167473522,714506.0683458289,5
1147,6,150000,8263108.731279809,714533.1866017423,6
1148,4,30000,8265196.654459666,714090.6690579649,4
1149,4,30000,8262312.702113782,715909.2299537403,4
1150,3,200000,8265447.877825549,715007.1414350569,3
1151,5,30000,8263980.550702454,713936.2970762234,5
1152,4,20000,8262162.382651472,714861.7849174417,4
1153,5,30000,8265165.094279172,715575.7597272367,5
1154,6,100000,8264111.3232704615,714027.5034495054,6
1155,6,50000,8265375.114227271,713421.4706778929,6
1156,6,24000,8265612.9583013775,714934.720769847,6
1157,7,70000,8265349.561234526,713015.5721237985,7
1158,4,30000,8263517.799023211,715040.2864144234,4
1159,6,30000,8263569.530010112,714192.5213173144,6
1160,4,5000,8261556.508021659,715809.7215857602,4
1161,4,20000,8265478.777931887,712670.2109758796,4
1162,4,30000,8264497.162172526,713546.8854164189,4
1163,4,20000,8264175.022105199,712477.384379593,4
1164,4,15000,8261511.280320634,716189.8242304439,4
1165,3,20000,8265482.494934432,715104.0842514861,3
1166,4,10000,8261667.952741536,716271.7609194068,4
1167,4,20000,8261339.402391735,714566.1073216649,4
1168,6,50000,8264537.36476366,713912.8393321398,6
1169,2,30000,8265244.705154579,712244.419168532,2
1170,6,120000,8261480.483256305,716146.3473689974,6
1171,4,5000,8261185.642866634,715584.6831818752,4
1172,6,50000,8262518.260280275,716223.7628914111,6
1173,6,150000,8262354.423537668,716532.9278224575,6
1174,2,35000,8261613.207775412,716153.1134729029,2
1175,6,30,8262112.122164919,716480.7032731824,6
1176,5,30000,8265020.474429384,715195.1670965089,5
1177,6,100000,8264818.590074095,714463.6357092327,6
1178,4,40000,8265641.652211167,714910.7851496183,4
1179,4,53000,8266106.668282118,713567.3581761708,4
1180,5,50000,8264614.285697436,715213.9051295647,5
1181,6,60000,8265192.566091484,713325.9969008059,6
