house_number,hhcount,hh_income,latitude,longitude,household_sample_size
6545,7,10000,8256202.311152142,717663.6340186321,7
6546,10,15000,8255110.775804982,719232.2435696272,10
6547,4,40000,8255497.581388442,719161.7086967754,4
6548,4,50000,8256525.971943452,717911.5878056098,4
6549,6,16000,8255030.2290411815,718951.7319192976,6
6550,2,70,8255893.359464856,718709.9960789328,2
6551,2,25000,8255715.398405502,717439.3183458063,2
6552,2,50000,8255715.405281396,717740.1497386147,2
6553,5,30000,8256704.840557696,717856.3347549188,5
6554,7,1000,8256425.684370919,717851.763204756,7
6555,3,30,8256514.924650158,717639.6655551571,3
6556,5,20000,8255277.478729095,719203.5697585716,5
6557,5,40000,8256378.685120146,717762.8498906302,5
6558,3,50000,8255940.764930181,717650.7675623102,3
6559,3,50000,8255924.87154346,717413.4912102433,3
6560,3,30,8256365.958956516,717804.6199747573,3
6561,5,150000,8255061.233716652,718612.5454529809,5
6562,3,40,8255277.049054772,718234.6465633081,3
6563,5,50000,8255559.774786059,717461.5199656016,5
6564,5,60,8255189.870946351,719020.4692686731,5
6565,8,100,8255795.008676086,717839.6581379531,8
6566,6,16000,8255706.613862132,717580.9253040536,6
6567,2,70,8256332.274485255,717863.5419632142,2
6568,5,30000,8255135.916644542,718809.8066727845,5
6569,5,60000,8254632.137077343,718552.4805770362,5
6570,4,50000,8254643.049363129,718622.9560403031,4
6571,8,40000,8255242.888594472,718988.8289361383,8
6572,5,200,8255381.473992638,719453.0556581712,5
6573,2,70000,8255323.343975623,718355.6311960744,2
6574,5,60000,8256028.0329928715,718626.7730664059,5
6575,3,15000,8254723.244439922,718591.3358314395,3
6576,5,30000,8255531.879697313,717785.4742996945,5
6577,2,50000,8255944.344449913,718681.6525430509,2
6578,6,16000,8255171.335063031,719461.4708773824,6
6579,3,45000,8256041.102776606,717612.980943532,3
6580,2,25000,8256434.685442748,717841.3952848092,2
6581,5,30000,8255889.303013812,718415.3539534434,5
6582,7,152,8255261.697737988,718526.6326812105,7
6583,5,30000,8256782.70292201,717700.3500632535,5
6584,4,80,8255247.757820619,718006.888208535,4
6585,4,200000,8256918.450981256,718063.5842297898,4
6586,2,50,8255403.388353321,719372.8834655839,2
6587,6,200,8255889.88768886,718835.8340440398,6
6588,5,30000,8255266.395125443,718683.1779664988,5
6589,5,50000,8255850.103520227,718859.729448253,5
6590,6,100000,8255616.111134155,718566.354417001,6
6591,5,60000,8256196.387692152,717753.9568168793,5
6592,3,25000,8256261.745703369,718507.8988660416,3
6593,5,60000,8255167.606538186,719116.8675617934,5
6594,2,50,8255647.634692976,719287.7435913588,2
6595,4,50000,8255373.986635766,718843.044829864,4
6596,5,30000,8255528.095202852,718456.3540049759,5
6597,5,60000,8255673.17135223,717487.4224944024,5
6598,5,30000,8256174.271956017,718185.0073701665,5
6599,3,50000,8255928.689424976,717439.3029856707,3
6600,3,70000,8257066.797288245,718047.3066247782,3
6601,7,10000,8255364.6972199,718508.8799872451,7
6602,4,20000,8255198.449504553,719103.1876493094,4
6603,5,70000,8254966.2915116055,718898.9490802366,5
6604,6,50000,8255375.262202485,719714.8571937636,6
6605,4,200000,8256326.847258354,717755.4902825475,4
6606,5,50000,8255371.215038205,719010.7919777777,5
6607,4,70000,8254857.70519094,719110.5518752366,4
6608,8,120000,8255277.633980526,718775.7847490379,8
6609,2,50000,8256068.915418217,718609.6734417409,2
6610,3,55000,8255957.3935992345,718080.3491028589,3
6611,5,70000,8255747.481735222,717606.8024997836,5
6612,4,40000,8255055.414142398,718626.3557861147,4
6613,8,75000,8256382.686113242,718086.0932368545,8
6614,5,50000,8256422.520070498,717700.0114643809,5
6615,4,70000,8255653.801408944,718627.1008362961,4
6616,3,25000,8255797.586296111,717895.6444517545,3
6617,4,120000,8255378.810797526,718195.131733369,4
6618,3,55000,8255787.282496942,718663.9135566156,3
6619,3,15000,8255265.7886185385,718497.706069068,3
6620,8,40000,8254674.346261759,718497.2596196601,8
6621,4,70000,8255562.399667807,717479.7229489967,4
6622,4,100000,8256267.121473957,717951.1650298012,4
6623,3,45000,8254648.501229996,718675.7556723565,3
6624,5,200,8255235.831730852,718919.5505282556,5
6625,5,60000,8254428.276028389,718421.9661252064,5
6626,5,50000,8255561.223522548,717377.0709066794,5
6627,3,40,8256825.065707656,718003.0776315718,3
6628,6,50000,8255376.202334306,718814.7515447332,6
6629,3,30,8256539.105529229,718079.581972145,3
6630,6,40000,8255267.506524904,719472.0779983209,6
6631,6,35000,8255349.242323362,717746.9892990184,6
6632,3,100000,8256108.504524218,717942.4871226682,3
6633,6,150000,8255446.541279181,717962.8754450255,6
6634,3,40,8256549.168272819,717836.251718455,3
6635,3,45000,8255091.640466046,718592.3260925118,3
6636,6,100000,8256159.948456806,717964.5134972665,6
6637,4,50000,8255880.282715606,717483.0769380571,4
6638,10,15000,8255204.670219002,719019.4596493917,10
6639,8,120000,8255278.155917734,718588.9581158834,8
6640,3,50000,8256031.059522722,717664.7635188455,3
6641,3,15000,8254973.932647621,718717.9643387517,3
6642,5,40000,8255915.124754141,718681.2516260702,5
6643,4,80,8255581.442149435,719437.3557002468,4
6644,2,50000,8254933.845742201,718609.7797283463,2
6645,6,100,8256135.386693342,717819.6728715524,6
6646,3,45000,8254398.026168118,718478.1083217382,3
6647,5,30000,8256335.325077141,718109.7072311344,5
6648,3,50000,8255364.361085289,718767.179692649,3
6649,5,80000,8255208.288437849,718930.2574137155,5
6650,3,100000,8254475.669524786,718438.2869787316,3
6651,4,50000,8255666.5532060405,718771.5040638972,4
6652,3,50,8255858.669021767,718379.349962292,3
6653,3,45000,8255517.8622994255,718657.1119676013,3
6654,7,152,8255954.483194688,717561.504864495,7
6655,6,25000,8256007.2518956065,717824.8559168512,6
6656,3,70000,8255392.073448813,719401.325246673,3
6657,5,80000,8255262.896252532,717905.191087144,5
6658,6,50000,8255186.868767277,718842.9892080033,6
6659,5,80000,8255572.586112349,719581.0221373392,5
6660,6,100,8255758.96825657,717535.6069031083,6
6661,3,40,8256182.685220048,718294.5742193686,3
6662,5,40000,8256551.937718112,718094.860748504,5
6663,5,60,8255955.495050453,717704.6676697938,5
6664,5,50000,8256036.007958438,717929.6082349297,5
6665,5,50000,8255322.631262023,718418.9919094713,5
6666,3,100000,8255277.299775451,719470.5998347932,3
6667,3,55000,8254819.582225688,719066.9323713497,3
6668,2,50,8255525.92985391,718694.9401425248,2
